"";"Bogennummer";"Ort..Name";"Ort..Longitude";"Ort..Latitude";"Typ"
"259";3424;"BEIERSTEDT";"10.85747";"52.07227";"o | ö"
"260";22044;"ROTTORF";"10.84096";"52.25623";"o | ö"
"261";22222;"REISLINGEN";"10.84171";"52.4211";"o | ö"
"262";22384;"TￃﾜLAU-FAHRENHORST";"10.87697";"52.57705";"o | ö"
"263";22581;"HￃﾖDDELSEN";"10.82391";"52.78033";"o | ö"
"264";22685;"PROITZE";"10.83564";"52.89159";"o | ö"
"265";49362;"STOETZE";"10.78178";"53.06946";"o | ö"
"266";49605;"BARSKAMP";"10.78385";"53.24416";"o | ö"
"267";50010;"GRESSE";"10.74685";"53.43177";"o | ö"
"268";50321;"LEHMRADE";"10.75137";"53.59484";"o | ö"
"269";49043;"CAMPOW";"10.76242";"53.75636";"o | ö"
"270";48702;"SEREETZ";"10.73453";"53.91976";"o | ö"
"271";48186;"SￃﾜSEL";"10.71297";"54.07936";"o | ö"
"272";47840;"KￃﾜKELￃﾜHN";"10.73902";"54.25873";"o | ö"
"273";46492;"BEHRENSDORF (OSTSEE)";"10.60371";"54.34619";"o | ö"
"274";35762;"MOGGAST";"11.26105";"49.76878";"o | ö"
"275";6981;"EMERSLEBEN";"11.13702";"51.92874";"o | ö"
"276";21936;"BARTENSLEBEN";"11.13295";"52.24058";"o | ö"
"277";22149;"RￃﾄTZLINGEN";"11.11387";"52.40093";"o | ö"
"278";22599;"WￃﾖPEL";"11.09919";"52.76301";"o | ö"
"279";22796;"WUSTROW (WENDLAND)";"11.11794";"52.92444";"o | ö"
"280";49498;"DANNENBERG (ELBE)";"11.09034";"53.09668";"o | ö"
"281";49752;"JESSENITZ";"11.0857";"53.26914";"o | ö"
"282";49881;"SETZIN";"11.08244";"53.41108";"o | ö"
"283";50332;"DRￃﾖNNEWITZ";"11.04085";"53.58655";"o | ö"
"284";49076;"NESOW";"11.05079";"53.75628";"o | ö"
"285";48716;"GROSS VOIGTSHAGEN";"11.03609";"53.92008";"o | ö"
"286";48096;"GRￃﾖMITZ";"10.95855";"54.15122";"o | ö"
"287";47861;"SIGGENEBEN";"11.0513";"54.2567";"o | ö"
"288";46554;"SULSDORF";"11.04304";"54.45888";"o | ö"
"289";46693;"WESTERMARKELSDORF";"11.05568";"54.5229";"o | ö"
"290";41948;"REICHERSBEUERN";"11.63273";"47.76683";"o | ö"
"291";39103;"IRSCHING";"11.57629";"48.76108";"o | ö"
"292";35011;"GIMPERTSHAUSEN";"11.56796";"49.10204";"o | ö"
"293";12085;"GRUMBACH";"11.50062";"50.42866";"o | ö"
"294";6821;"ASCHERSLEBEN";"11.46082";"51.75833";"o | ö"
"295";6995;"EGELN";"11.42586";"51.94131";"o | ö"
"296";3572;"DOMERSLEBEN";"11.43652";"52.09266";"o | ö"
"297";22063;"HUNDISBURG";"11.39951";"52.24731";"o | ö"
"298";22810;"LOMITZ";"11.39455";"52.94488";"o | ö"
"299";49509;"BREETZ";"11.38051";"53.1086";"o | ö"
"300";49767;"GLAISIN";"11.36676";"53.27885";"o | ö"
"301";50027;"MORAAS";"11.30189";"53.42238";"o | ö"
"302";50343;"GROSS ROGAHN";"11.32365";"53.59528";"o | ö"
"303";49090;"DALLIENDORF";"11.32985";"53.7779";"o | ö"
"304";48726;"BECKERWITZ";"11.33016";"53.9304";"o | ö"
"305";46570;"STABERDORF";"11.27372";"54.4157";"o | ö"
"306";41953;"PARSBERG";"11.86487";"47.78497";"o | ö"
"307";39503;"ZORNEDING";"11.82207";"48.08316";"o | ö"
"308";39673;"MOOSINNING";"11.84372";"48.27687";"o | ö"
"309";39116;"SIEGENBURG";"11.84985";"48.75567";"o | ö"
"310";6630;"FREIST";"11.70461";"51.60497";"o | ö"
"311";6831;"GRￃﾖNA";"11.69886";"51.76418";"o | ö"
"312";7007;"EICKENDORF";"11.67388";"51.94703";"o | ö"
"313";22074;"FARSLEBEN";"11.65499";"52.27548";"o | ö"
"314";22172;"BURGSTALL";"11.69646";"52.40703";"o | ö"
"315";22423;"QUERSTEDT";"11.66397";"52.60153";"o | ö"
"316";22636;"RￃﾖNNEBECK";"11.63736";"52.76929";"o | ö"
"317";22819;"JEGGEL";"11.64245";"52.9155";"o | ö"
"318";49524;"LAASLICH";"11.69264";"53.10028";"o | ö"
"319";49778;"NEESE";"11.62817";"53.26261";"o | ö"
"320";49898;"NEUHOF";"11.60438";"53.39799";"o | ö"
"321";50357;"KLADOW";"11.60408";"53.616";"o | ö"
"322";49108;"NEUHOF";"11.61879";"53.77558";"o | ö"
"323";48738;"STEINHAUSEN";"11.60462";"53.94318";"o | ö"
"324";48522;"RERIK";"11.61406";"54.10586";"o | ö"
"325";41963;"KIRCHDORF AM INN";"12.10834";"47.77873";"o | ö"
"326";38912;"OBERGLAIM";"12.11336";"48.60961";"o | ö"
"327";6656;"DREHLITZ";"11.96531";"51.60326";"o | ö"
"328";7022;"KￃﾄMERITZ";"11.97232";"51.95485";"o | ö"
"329";22083;"REESEN";"11.93747";"52.28307";"o | ö"
"330";22443;"STAFFELDE";"11.95658";"52.6014";"o | ö"
"331";22654;"IDEN";"11.91213";"52.77979";"o | ö"
"332";22832;"GROSS LￃﾜBEN";"11.92033";"52.95775";"o | ö"
"333";49794;"PAMPIN";"11.86397";"53.26081";"o | ö"
"334";50365;"HOHEN PRITZ";"11.88883";"53.63207";"o | ö"
"335";49122;"WARNOW";"11.88526";"53.78539";"o | ö"
"336";48752;"BERENDSHAGEN";"11.83423";"53.94661";"o | ö"
"337";48532;"BRODHAGEN";"11.85396";"54.10812";"o | ö"
"338";41969;"ASCHAU IM CHIEMGAU-NIEDERASCHAU";"12.32437868";"47.7804255";"o | ö"
"339";40137;"RANOLDSBERG";"12.33456";"48.30807";"o | ö"
"340";40191;"VILSBIBURG";"12.35586";"48.44847";"o | ö"
"341";35046;"ALTENTHANN";"12.30395";"49.09295";"o | ö"
"342";6168;"REHBACH";"12.27689";"51.27301";"o | ö"
"343";7033;"NATHO";"12.23114";"51.95654";"o | ö"
"344";22276;"ZABAKUCK";"12.21537";"52.45574";"o | ö"
"345";22453;"GROSSWUDICKE";"12.231";"52.59371";"o | ö"
"346";22667;"KUHLHAUSEN";"12.19465";"52.78429";"o | ö"
"347";22846;"GￃﾖRIKE";"12.2009";"52.94353";"o | ö"
"348";49551;"BUCHHOLZ";"12.18296";"53.11903";"o | ö"
"349";49802;"GRABOW";"12.17074";"53.26531";"o | ö"
"350";50068;"BARKOW";"12.17807";"53.46472";"o | ö"
"351";50377;"JELLEN";"12.14767";"53.62344";"o | ö"
"352";49140;"GￃﾜSTROW";"12.17296";"53.79677";"o | ö"
"353";48765;"WIENDORF";"12.1512";"53.94766";"o | ö"
"354";48550;"TOITENWINKEL";"12.14585";"54.1182";"o | ö"
"355";48516;"GRAAL-MￃﾜRITZ";"12.23798";"54.2492";"o | ö"
"356";42076;"TRAUNWALCHEN";"12.60502";"47.9401";"o | ö"
"357";7180;"LIEMEHNA";"12.51198";"51.43433";"o | ö"
"358";7363;"BRￃﾖSA";"12.51328";"51.61265";"o | ö"
"359";7688;"STRAACH";"12.59595";"51.95429";"o | ö"
"360";4521;"WOLLIN";"12.46878";"52.2815";"o | ö"
"361";4293;"BRIELOW";"12.53709";"52.46053";"o | ö"
"362";3626;"NENNHAUSEN";"12.50581";"52.60408";"o | ö"
"363";3871;"DREETZ";"12.46028";"52.80289";"o | ö"
"364";4081;"BANTIKOW";"12.45354";"52.93648";"o | ö"
"365";51805;"GRABOW";"12.44102";"53.27919";"o | ö"
"366";51539;"KISSEROW";"12.46486";"53.44792";"o | ö"
"367";51012;"HOHEN WANGELIN";"12.42509";"53.61075";"o | ö"
"368";50385;"LￃﾜBSEE";"12.36951";"53.73311";"o | ö"
"369";50765;"GROSS RIDSENOW";"12.44997";"53.95967";"o | ö"
"370";51346;"REPPELIN";"12.43765";"54.09324";"o | ö"
"371";51243;"LANGENDAMM";"12.46549";"54.29792";"o | ö"
"372";51191;"AHRENSHOOP";"12.41813";"54.37908";"o | ö"
"373";7696;"RAHNSDORF";"12.78451";"51.94368";"o | ö"
"374";4738;"NIEDERWERBIG";"12.78651";"52.11314";"o | ö"
"375";4527;"RￃﾄDEL";"12.74891";"52.28544";"o | ö"
"376";4306;"DEETZ";"12.77535";"52.44648";"o | ö"
"377";3634;"BERGE";"12.79568";"52.62028";"o | ö"
"378";43959;"LINDSBERG";"12.90159739";"46.80107624";"o | ö"
"379";3880;"BRUNNE";"12.72901";"52.77304";"o | ö"
"380";4093;"KRￃﾄNZLIN";"12.74485";"52.92901";"o | ö"
"381";52070;"WALLITZ";"12.77328";"53.11997";"o | ö"
"382";51030;"RITTERMANNSHAGEN";"12.76144";"53.62274";"o | ö"
"383";50523;"RETZOW";"12.72318";"53.77769";"o | ö"
"384";50779;"SCHLUTOW";"12.73722";"53.94228";"o | ö"
"385";51355;"KAVELSDORF";"12.70461";"54.13797";"o | ö"
"386";51257;"REDEBAS";"12.73823";"54.29537";"o | ö"
"387";51170;"ZINGST";"12.68295";"54.43348";"o | ö"
"388";42132;"RAMSAU BEI BERCHTESGADEN";"12.89858";"47.60782";"o | ö"
"389";12921;"SACHSENBURG";"13.03963";"50.94183";"o | ö"
"390";7562;"KLOSSA";"13.04784";"51.78178";"o | ö"
"391";4539;"WILDENBRUCH";"13.06389";"52.28482";"o | ö"
"392";4321;"FAHRLAND";"13.01356";"52.46797";"o | ö"
