Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Erhebung;Ort::Sprache;Bogennummer;Ort::Name;WS16: Adjektivform Positiv;WS16: Stammvokal Positiv;WS16: Adjektivform Komparativ;WS16: Stammvokal Komparativ;Transliteration WS16
83465;10,83586;48,57347;4;1;38738;WESTENDORF;gro̰a̰ß;o̰a̰;grääß'r;ää;Du bischt no ḭt gro̰a̰ß gnṵa̰, um a̰ Flasch Wḛḭ aṵs z’trḭnka̰, du mua̰scht érscht no öbés wa̰gsa̰ u. gräaß’r wéra̰
89893;11,33526;48,58019;4;1;38764;WAIDHOFEN;groaß;oa;greßa;e;Du bischt no nét groaß gnua, dáßd à Flaschn Wḛi ausdringa ko̰schd, du muaßt erscht no̰ à wéni wáxn u. greßa wean.
74038;11,5777;48,58007;4;1;38774;ESCHELBACH AN DER ILM;groiß;oi;größa;ö;Du bist no nit groiß gnua, daß't a Flaschn Wei austrinkast, du muaßt vone a bißal waxn und größa wern.
126978;12,72901;52,77304;1;1;3880;BRUNNE;jrot;o;jrötter;ö;Du bist noch nich jrot jenug, um ene Flasche Wien uttoudrink’n, du mühst iehrst noch en Enne wassen un jrötter waer'n.
74385;11,09074;48,58242;4;1;38863;PￃﾖTTMES;groaß;oa;greaßa;ea;Du bisch no net groaß gnua, um a Flasche Wei ausztrinkn, du muasch earsch no bessa wachse und greaßa wern.
121701;13,03193;52,80287;1;1;3887;SOMMERFELD;grot;o;grötter;ö;Du bäst noch nich grot nocht, um ne Flasche Win uttodrinken, du müst irst noch en Enne wassen un grötter wärn.
87550;11,82132;48,5868;4;1;38899;HEBRONTSHAUSEN;gro(ōu)ß ;o(ōu);gröißa;öi;Du bist no nöt gro(ōu)ß g'nou, um a Fla(o)sch'n Wei ausz'trinka, du moußt zaerst no bessa wa(o)chs'n und gröißa wern.
74959;12,11336;48,60961;4;1;38912;OBERGLAIM;groß;o;größer;ö;Du bist no nöt groß gnua, um a Flasche Wḛi ausztrinka, du mußt no a bißerl wachsn und größer wern.
72973;10,5672;48,73137;4;1;38935;FRONHOFEN;;;grea̰ßr;ea̰;Du bischt no z' kloi um a̰ Flasch Wei ausztrènka̰, du muascht no̰ wachsa und grea̰ßr wèãra̰.
125968;13,2942;52,80213;1;1;3896;MALZ;groth;o;grötter;ö;Du bist noch nich groth nunk, üm ene Flasche Wien uttodrinken, du müßt ierscht noch en Enne wassen un grötter wern.
86825;11,07121;48,74457;4;1;38963;STEPPERG;grouß;ou;größer;ö;Du bischt nou net grouß gnua, um a Flaschn Wḛi' aus z'trinka /:saufa:/, du muascht z'erscht no a weng waxn und größer wern.
123638;14,10557;52,94874;1;1;3901;STOLZENHAGEN;grot;o;grötter;ö;Du bis no nîch grot genueg, üm̄e ene Pulle Win ut tue drinken, du mützt îrscht noch en Enge wassen u͜n grötter werrn.
126204;13,55547;52,78887;1;1;3906;PRENDEN;gröt;ö;grötter;ö;Du bist noch nicht grōt genug, um ene Flasche Wien uttotrinken, Du müßt ierst noch ēn Enge wassen un grötter wärn.
87505;10,84006;48,75927;4;1;39062;HAFENREUT;groaß;oa;gröaßer;öa;Du bischt no nit groaß gnuag, um a Flascha Wei ausztrinke, du muaßt earst no etwas wachse u. gröaßer weare.
91872;11,34577;48,75413;4;1;39089;GEROLFING;graoß;ao;greißa;ei;Du bischt no nöt graoß gnuach, dascht a Flasch’n Wei austrinka koscht, du māuscht eascht no bösser waksn u. greißa wern.
93570;11,57629;48,76108;4;1;39103;IRSCHING;groß;o;größa;ö;Du bist nöt groß (au) gnua, um a Flaschn Wei ausztrinka, du muaßt na bößa waxn u. größa wean.
92240;11,84985;48,75567;4;1;39116;SIEGENBURG;groß;o;greßa;e;Du bist no̰ nöt groß gnua, daß d' a Flaschn Wḛḭn austrinka kan̄tst, du muaßt erscht no̰ wachsn und greßa wean.
73861;12,07877;48,78621;4;1;39126;SEMERSKIRCHEN;grouß;ou;größa;ö;Du bist no nöt grouß gnua, um a Flaschn Wei ausztrinka, du muaßt erst no wachsn u. größa wern.
83760;12,30322;48,76569;4;1;39140;HOFKIRCHEN;grous;ou;gresser;e;Du bist na̮ nöd grous gnou, um a Flaschn Wei ausdringa, Du moust erscht no ebs wochsn u. gresser wern.
92861;10,55239;48,90411;4;1;39160;DￃﾜRRENZIMMERN;;;gröaßer;öa;Du bischt no zkloi, um a Flasch Wein̰ ausztrinka, du muascht zerscht no waxa und gröaßer wära.
87863;10,84499;48,91055;4;1;39179;GUNDELSHEIM;groß;o;gröißer;öi;Du bischt no ni groß gnua um a Flaschn Wei auszrinka, Du musch erscht wagsa u. gröißer werdn.
126786;13,83613;52,77805;1;1;3919;TRAMPE;grot;o;gröter;ö;Du bist noch nicht grot genung um ehne Flasche Wien utzutrinken. Du mußt erst noch ehn Enge woassen u gröter werden.
79905;11,30127;48,91192;4;1;39201;WALTING;groaß;oa;greaßer;ea;Du bischt no net groaß gnuag, a Flaschn Wein ausz'trinka, du muascht zéa no a bisl wachsn &. greaßer wern.
90807;11,03844;48,92811;4;1;39293;BIESWANG;grauß;au;gräißer;äi;Du bischt na ni grauß gnēug, um a Flasche Wein aus z'trinka, du mouscht eierscht nu ebbes wachsn und gräißer wern.
124481;14,14217;52,78127;1;1;3931;NEUREETZ;jrot;o;jrötter;ö;Du bist noa nich jrot jenuch, um ene Flasche Wein uttodrink'n, du mußt iersch noch en Enge wassen un jrötter wer'n.
80799;11,56632;48,94379;4;1;39317;PONDORF;;;gröißer;öi;Du bist no z kloa, um a Flaschn Weij ausztrinka, du moußt no bessa wassn und gröißer wern.
544532;11,86022084;48,92952421;4;1;39329;NEUKELHEIM;grouß;ou;größer;ö;Du bist no nöt grouß (:a tief:) gnua um a Flaschn Wein ausztrinka, du muaßt erst no better wachsn u. größer wern. 
73106;12,06031;48,92014;4;1;39342;PEISING;grous;ou;größa;ö;Du bist no net grous gnua, um a Flasch'n Wei' ausz'trinka, du muaßt z'erscht no a wengerl waxn u. größa wean.
89286;10,34917;48,07733;4;1;39356;ARLESRIED;groß;o;graßer;a ;Du bischt no̰ it groß gnua, um a Flascha Wḛḭ z’trenka, du muascht no ebbes wachsa und graßer wära.
79195;10,64019;48,06227;4;1;39370;TￃﾜRKHEIM;groaß;oa;greasr;ea;Du bischt no nḛt groaß gnua̰ um a̰ Flesch Wḛi auszdringat, du muascht no öbbes wagsa̰ und greasr weara̰.
85373;11,37906;48,06724;4;1;39398;GAUTING;groaß;oa;größa;ö;Du bischt zweani groaß, daß a Flaschn Wei austrinka kunst, du mußt no bessa wachsn u. größa wern.
147579;14,46705;52,76029;1;1;3944;KURZYCKO;grot;o;gröter;ö;Du bist no ne grot genuch, um ene Flasche Wien uttodrinken, Du mußt ierst no en Enge wassen un gröter wer'n.
74196;10,86116;48,08685;4;1;39459;KAUFERING;groaß;oa;gräßer;ä;D'u bischt öt groaß gnua, um a Flascha Wei ausztrinka, du muischt no voar waxa un. gräßer wära.
83352;11,1147;48,08132;4;1;39475;ECHING AM AMMERSEE;groaß;oa;größa;ö;Du bischt no it groaß gn'u, um a Flaschn Wei' ausz'trinka, Du muaßt erst noch mèha wachs'n u. größa wer'n.
150736;14,6936;52,787;1;1;3949;GRZYMIRADZ;got;o;grätter;ä;Du bist no' nich got genug, um eene Flasche Wien ut'tudrink'n, du muszt erscht no'n Enge wassen un grätter werr'n.
89000;11,63032;48,10063;4;1;39494;PERLACH;groaß;oa;grössa;ö;Du bist nonit groaß gnu um̄a Flaschn Wein aus zdrinka du muast erst no wagse u grössa wärn
93263;11,82207;48,08316;4;1;39503;ZORNEDING;groß;o;größa;ö;Du bist no nöt groß gnua, um a Flasche Wein ausztrinka, du moußt erst no ebas waxe u. größa wern.
93298;12,11102;48,11149;4;1;39509;ALBACHING;groß;o;größa;ö;Du bist noch nicht groß das a Flaschen (: Floschen :) Wei(:n) aus trinka ka(n)st, du mußt, du mußt erscht noch wachs’n u. größa wern
80835;12,33055;48,0921;4;1;39515;SANKT LEONHARD;;;greßer;e;Du bist no z' kloan, da sda Floschn Wei(n) aussaufst, du muasßt no wachsn und greßer wern.
71494;10,37948;48,22448;4;1;39517;NIEDERRAUNAU;groaß;oa;greaß'r;ea;Du bischt no it groaß gnăă̰ um a Flesch Wḛḭ z'trinkăt, du muăscht eascht no böss'r wachsa̰ u. greaß'r weară̰.
82192;10,59053;48,22651;4;1;39529;WALKERTSHOFEN;groaß;oa;grea̱ßr;ea̱;Du bischt no it groaß gnua, um ā Flesch Wai ausztrinka, du muscht no um öbis wǎxǎ u. grea̱ßr weārā.
84488;10,85682;48,23762;4;1;39546;OBEROTTMARSHAUSEN;;;gröaßer;öa;Zor an̰ Fläscha Wein̰ austrinka bischt du no s' kloi, do muascht eascht no wagsa̰ und gröaßer weara̰.̰
531341;14,94817;52,78026;1;1;3957;LUBISZYN;grot;o;grlter;l;Du bist noch nich grot genung, üm ene Flasche Wein uttuodrinken, Du mußt eärscht noch en Ende wassen un gröter woaren.
74035;11,09471;48,25545;4;1;39647;MITTELSTETTEN;groa̰ß;oa̰;gröaßer;öa;Du büsch no id groa̰ß gmua, um a̰ Flasch'n Wḛḭ ausz'drincha̰, du mua̰sch zeard no öba̰s wags'n u. gröaßer wea̰rn.
