Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
23271;Kehrum;6,33914;51,70982;101179;1;Marburg;Man mot hart rupe, anders versteht he ons nit.;hart;a;Ek verstönn ow nit, gey mot en beche harder spräke.;harder;a
23284;Hamminkeln;6,59016;51,72886;103878;1;Marburg;Man mott hatt rupen, söns verstest'e ons niet.;hatt;a;Ek verstoah ou niet, ej mott ene bättjen hadder spräken.;hadder;a
23293;Erle;6,86433;51,74642;102304;1;Marburg;Man mutt hatt rōpen, süs vöstiht he uis nich.;hatt;a;Ick vostoah uh nich, ih mütt en bätken hadder kallūn.;hadder;a
23343;Göttingen;8,231584076;51,66488154;544138;1;Marburg;Man mot harre schriggen, süß vesteit he us nit.;harre;a;Ick vestoa ju ni, se müt nen bitken hädder köüern.;hädder;ä
2338;Wenslowischken (Voznesenskoye);22,66645761;54,4857982;547762;1;Marburg;Man mott lut (dichtig) schriee, sonst versteit he ons nich.;lut;u;Eck versto͜ah ju nich, ju motte e beske luter (dichtiger) spräke.;luter;u
23402;Holtwick;7,13224;51,75267;102730;1;Marburg;Wie mött hadde ropen, süß vöarsteiht he us nich.;hadde ;a;Ick verstoah ink nich, ih müöt en biäten hädder kühren.;hädder;ä
23412;Seppenrade;7,39511;51,76309;103922;1;Marburg;Man mott harr schreien, süß verstaiht he us nech;harr;a;Jck västauh ink nich, iet möt't en biettken hädder küern.;hädder;ä
23419;Davensberg;7,5934;51,81826;102429;1;Marburg;Man mot harr schreien, süs vösteit he us nich.;harr;a;Jck vöstou ju nich, ji möt en bittken hädder küirn. ;hädder;ä
23426;Vorhelm;7,94635;51,80536;101460;1;Marburg;Wi mötd hadde schreien, süs fästeiht he us nig.;hadde;a;Jk fästoa ju nig! ji möttet en bükken heller küern.;heller;e
23435;Stromberg;8,20222;51,80379;101255;1;Marburg;Män mott hell schreggen, süß vasteit he us nich.;hell ;e;Jck vostoeh ju nich, jei mödt en bitken hädder köiern.;hädder;ä
23453;Stockum bei Coesfeld;7,090871267;51,94956678;544165;1;Marburg;Man mott harre schreien süss vasteiht heh uß nich.;harre;a;Jck vestoh uh nich, ih mött een Bittken härrer küan.;härrer;ä
23466;Nottuln;7,35441;51,92822;103416;1;Marburg;Mann mott harr schreien, süß vörstiit he uß nich.;harr;a;Jck vörstoh uh nich, ih müt't en bitken härrer küen.;härrer;ä
